,Dist. STATE,Account ID,City,OnOff Premises,Classes of Trade,Siempre Plata,Siempre Reposado,Siempre Anejo,Siempre Supremo,Siempre Rebel Cask,Siempre Exclusivo Vivo,Total Cases,Did Buys,# Purchases,# Months Purchased,Rate of Sale: Units / Month,Ave Unit Price,Cluster
169,GA,11502,WARNER ROBINS,OFF,LIQUOR/PACKAGE STORE,1.5,2.5,0.0,0.0,0.0,0.0,4.0,1,4,4,0.333333333,198.0075,0.0
170,GA,53293,ATLANTA,ON,RESTAURANT,1.5,2.666667,0.166667,0.0,0.0,0.0,4.333334,1,5,4,0.361111167,152.6953611,1.0
171,GA,31814,BRASELTON,OFF,LIQUOR/PACKAGE STORE,1.5,0.5,0.5,0.0,0.0,0.0,2.5,1,2,2,0.208333333,215.88396,0.0
172,GA,25162,WOODSTOCK,OFF,LIQUOR/PACKAGE STORE,1.5,1.0,1.0,0.0,0.0,0.0,3.5,1,1,1,0.291666667,203.5085143,0.0
173,GA,54968,HEPHZIBAH,OFF,LIQUOR/PACKAGE STORE,1.5,0.5,0.0,0.0,0.0,0.0,2.0,1,2,2,0.166666667,193.035,0.0
174,GA,93624,MILLEDGEVILLE,OFF,LIQUOR/PACKAGE STORE,1.5,1.333333,0.333333,0.0,0.0,0.0,3.166666,1,5,4,0.263888833,198.2106101,0.0
175,GA,96581,JONESBORO,OFF,LIQUOR/PACKAGE STORE,1.5,2.5,0.5,0.0,0.0,0.0,4.5,1,3,3,0.375,211.7888667,0.0
176,GA,84629,SAINT MARYS,OFF,LIQUOR/PACKAGE STORE,1.499999,0.0,0.0,0.0,0.0,0.0,1.499999,1,4,3,0.124999917,183.5701224,0.0
177,GA,83943,ATLANTA,ON,RESTAURANT,1.333336,0.666668,0.666668,0.0,0.0,0.0,2.666672,1,5,2,0.222222667,169.8596603,1.0
178,GA,42838,ALPHARETTA,ON,RESTAURANT,1.333336,2.833334,0.0,0.0,0.0,0.0,4.16667,1,12,8,0.3472225,171.9334625,2.0
179,GA,59212,ALPHARETTA,ON,RESTAURANT,1.333336,2.333336,0.833335,0.0,0.0,0.0,4.500007,1,17,10,0.375000583,206.2574569,2.0
180,GA,46922,ATLANTA,ON,RESTAURANT,1.333336,1.500003,0.500001,0.0,0.0,0.0,3.33334,1,18,11,0.277778333,207.1150858,2.0
181,GA,75627,AUGUSTA,OFF,LIQUOR/PACKAGE STORE,1.333334,0.5,0.333333,0.0,0.0,0.0,2.166667,1,2,2,0.180555583,196.0831083,0.0
